Year,Month,Date,CO2,Seasonal CO2
1958,3,21259,315.7,314.43
1958,4,21290,317.45,315.16
1958,5,21320,317.51,314.71
1958,6,21351,-99.99,-99.99
1958,7,21381,315.86,315.18
1958,8,21412,314.93,316.18
1958,9,21443,313.2,316.08
1958,10,21473,-99.99,-99.99
1958,11,21504,313.33,315.2
1958,12,21534,314.67,315.43
1959,1,21565,315.58,315.55
1959,2,21596,316.48,315.86
1959,3,21624,316.65,315.38
1959,4,21655,317.72,315.41
1959,5,21685,318.29,315.49
1959,6,21716,318.15,316.03
1959,7,21746,316.54,315.86
1959,8,21777,314.8,316.06
1959,9,21808,313.84,316.73
1959,10,21838,313.33,316.33
1959,11,21869,314.81,316.68
1959,12,21899,315.58,316.35
1960,1,21930,316.43,316.4
1960,2,21961,316.98,316.36
1960,3,21990,317.58,316.28
1960,4,22021,319.03,316.7
1960,5,22051,320.04,317.22
1960,6,22082,319.59,317.47
1960,7,22112,318.18,317.52
1960,8,22143,315.9,317.19
1960,9,22174,314.17,317.08
1960,10,22204,313.83,316.83
1960,11,22235,315,316.88
1960,12,22265,316.19,316.96
1961,1,22296,316.89,316.86
1961,2,22327,317.7,317.08
1961,3,22355,318.54,317.26
1961,4,22386,319.48,317.16
1961,5,22416,320.58,317.76
1961,6,22447,319.77,317.63
1961,7,22477,318.57,317.88
1961,8,22508,316.79,318.06
1961,9,22539,314.99,317.9
1961,10,22569,315.31,318.32
1961,11,22600,316.1,317.99
1961,12,22630,317.01,317.79
1962,1,22661,317.94,317.91
1962,2,22692,318.55,317.92
1962,3,22720,319.68,318.39
1962,4,22751,320.57,318.24
1962,5,22781,321.02,318.18
1962,6,22812,320.62,318.47
1962,7,22842,319.61,318.92
1962,8,22873,317.4,318.68
1962,9,22904,316.25,319.17
1962,10,22934,315.42,318.45
1962,11,22965,316.69,318.58
1962,12,22995,317.7,318.47
1963,1,23026,318.74,318.7
1963,2,23057,319.07,318.44
1963,3,23085,319.86,318.57
1963,4,23116,321.38,319.05
1963,5,23146,322.25,319.4
1963,6,23177,321.48,319.32
1963,7,23207,319.74,319.05
1963,8,23238,317.77,319.05
1963,9,23269,316.21,319.14
1963,10,23299,315.99,319.02
1963,11,23330,317.07,318.97
1963,12,23360,318.35,319.13
1964,1,23391,319.57,319.54
1964,2,23422,-99.99,-99.99
1964,3,23451,-99.99,-99.99
1964,4,23482,-99.99,-99.99
1964,5,23512,322.26,319.4
